id,latitude,longitude,accommodates,price,cleaning_fee,weekly_earnings
10829725,37.78683793,-122.4130689,2,$100.00 ,$20.00 ,400.00
638875,37.78430245,-122.4103313,2,$225.00 ,$50.00 ,895.00
9617306,37.78876462,-122.4104992,4,$180.00 ,,756.00
17825669,37.78849475,-122.4136514,2,$180.00 ,$25.00 ,731.00
13975376,37.7894808,-122.4130566,4,$270.00 ,$50.00 ,1084.00
2960229,37.788873,-122.4091901,4,$180.00 ,,756.00
10157431,37.78164467,-122.4127817,3,$105.00 ,$50.00 ,391.00
7143032,37.78621177,-122.409671,2,$110.00 ,$25.00 ,437.00
4701489,37.78738647,-122.4093389,4,$179.00 ,$59.00 ,692.80
9157940,37.78848217,-122.4106012,4,$180.00 ,,756.00
8328410,37.78893896,-122.4172196,2,$149.00 ,$55.00 ,570.80
11893938,37.77739778,-122.4193488,1,$128.00 ,,537.60
10517656,37.78787256,-122.4170358,2,$300.00 ,$100.00 ,1160.00
9157775,37.78726389,-122.4112893,4,$180.00 ,,756.00
13169268,37.78717816,-122.4093998,2,$110.00 ,$25.00 ,437.00
9436713,37.78762407,-122.409676,4,$700.00 ,,2940.00
5143547,37.78411931,-122.4165106,4,$145.00 ,,609.00
16071674,37.78410923,-122.4121026,2,$70.00 ,,294.00
10566628,37.78608455,-122.4147933,2,$500.00 ,,2100.00
12172251,37.78828696,-122.4183949,4,$150.00 ,,630.00
10941493,37.78829516,-122.4102196,2,$160.00 ,$35.00 ,637.00
16071011,37.78756492,-122.417346,4,$180.00 ,,756.00
7764330,37.7864925,-122.4178916,2,$115.00 ,,483.00
17594686,37.78445047,-122.4200423,1,$39.00 ,$10.00 ,153.80
10149591,37.77981656,-122.4213216,2,$200.00 ,,840.00
13896608,37.7881509,-122.4112326,4,$209.00 ,$50.00 ,827.80
13204769,37.7854802,-122.4075928,2,$125.00 ,$25.00 ,500.00
2866418,37.78753392,-122.4096166,4,$550.00 ,,2310.00
15072478,37.78947055,-122.4116183,4,$373.00 ,,1566.60
10434779,37.77774978,-122.4196896,2,$250.00 ,,1050.00
15218861,37.78811136,-122.4137369,4,$399.00 ,$100.00 ,1575.80
17120964,37.7870641,-122.4077217,2,$75.00 ,$25.00 ,290.00
10336332,37.77851241,-122.4223751,2,$189.00 ,,793.80
10156101,37.77886132,-122.4220926,4,$215.00 ,,903.00
8685817,37.78543003,-122.4083056,2,$110.00 ,$25.00 ,437.00
7240598,37.78562499,-122.4079963,2,$110.00 ,$25.00 ,437.00
17107439,37.78518346,-122.4088994,2,$75.00 ,$25.00 ,290.00
16051031,37.78701558,-122.40866,2,$70.00 ,$25.00 ,269.00
8240011,37.78892949,-122.4121048,1,$125.00 ,$45.00 ,480.00
16497498,37.78858828,-122.4154966,3,$250.00 ,$50.00 ,1000.00
16710495,37.78789488,-122.4217148,5,$395.00 ,$100.00 ,1559.00
15579683,37.78806775,-122.4134898,4,$195.00 ,$100.00 ,719.00
6453774,37.78835532,-122.4091569,4,$194.00 ,$50.00 ,764.80
8993301,37.78819251,-122.4094991,4,$180.00 ,,756.00
8993293,37.78699137,-122.4097116,4,$180.00 ,,756.00
8993289,37.78726597,-122.410619,4,$180.00 ,,756.00
17693146,37.78811601,-122.4168126,1,$50.00 ,,210.00
15972802,37.78770164,-122.4131159,3,$110.00 ,$25.00 ,437.00
6764986,37.78682536,-122.4081317,2,$110.00 ,$25.00 ,437.00
15990429,37.78523236,-122.4128261,2,$70.00 ,,294.00
2111361,37.78093071,-122.4200707,3,$200.00 ,,840.00
9173711,37.78805185,-122.4111458,4,$180.00 ,,756.00
15792011,37.78447803,-122.415099,4,$200.00 ,$30.00 ,810.00
17495801,37.79003235,-122.4092011,2,$193.00 ,,810.60
571115,37.77896844,-122.4193016,3,$175.00 ,$100.00 ,635.00
17041687,37.78563981,-122.4084231,2,$70.00 ,$25.00 ,269.00
10435334,37.77722393,-122.4229844,2,$250.00 ,,1050.00
11123431,37.78718413,-122.4129399,2,$150.00 ,$25.00 ,605.00
11090058,37.78864822,-122.4112776,2,$150.00 ,$25.00 ,605.00
16426353,37.78843063,-122.4070188,2,$79.00 ,$10.00 ,321.80
15325682,37.78849546,-122.4123892,4,$319.00 ,$100.00 ,1239.80
9156193,37.78696648,-122.4096087,4,$180.00 ,,756.00
79420,37.78790799,-122.4165039,1,$165.00 ,$50.00 ,643.00
