id,latitude,longitude,square_feet,price,review_scores_rating
10988680,37.75418395,-122.4065138,,$49.00 ,100
8053481,37.75416621,-122.4215336,,$220.00 ,96
14011173,37.75850584,-122.4061523,,$100.00 ,90
16142131,37.75654875,-122.4220251,,$117.00 ,100
9080622,37.76005055,-122.4213524,,$200.00 ,
936209,37.75949488,-122.4248737,,$162.00 ,96
7048973,37.76099687,-122.4131237,,$230.00 ,89
7998215,37.75054282,-122.4165585,,$173.00 ,100
12815115,37.75628818,-122.4087377,,$600.00 ,
10406646,37.75724642,-122.4093147,,$250.00 ,92
4558566,37.74932935,-122.4107925,,$300.00 ,93
2771688,37.7513531,-122.4176588,,$189.00 ,92
5020057,37.75199246,-122.4042105,,$130.00 ,98
15151013,37.76142933,-122.4193501,,$90.00 ,
4925354,37.76652079,-122.4246601,,$95.00 ,94
13863669,37.75995514,-122.4241064,,$325.00 ,91
5394755,37.75870167,-122.42124,,$119.00 ,95
8861480,37.76147949,-122.4157135,,$134.00 ,100
14139656,37.75939066,-122.4211674,,$490.00 ,100
7802522,37.74961782,-122.4181314,,$140.00 ,100
15470227,37.75958581,-122.4100011,,$185.00 ,94
10756717,37.75560551,-122.4067193,,$550.00 ,
1117756,37.7505213,-122.4073568,,$113.00 ,97
17588923,37.76832743,-122.4250571,,$115.00 ,
7228772,37.76888719,-122.4240599,,$155.00 ,96
15501322,37.75134306,-122.4226501,,$45.00 ,
4624467,37.75506955,-122.4168171,,$169.00 ,98
856123,37.7622065,-122.4198954,,$186.00 ,100
9490490,37.753852,-122.4111577,,$77.00 ,100
865873,37.76251893,-122.4242846,,$250.00 ,98
6834158,37.76531007,-122.4246905,,$235.00 ,96
13846498,37.76362666,-122.4253853,,$80.00 ,80
1101403,37.7681406,-122.4253676,,$300.00 ,100
15566812,37.75866765,-122.42388,,$200.00 ,100
16173016,37.76148205,-122.4092539,,$200.00 ,95
63405,37.75399609,-122.4177063,500,$125.00 ,93
16857004,37.75328433,-122.4118579,,$40.00 ,
11011745,37.75028261,-122.4156194,,$500.00 ,
17697262,37.75813182,-122.4141177,,$79.00 ,100
13043340,37.75754497,-122.4201252,,$115.00 ,96
2049672,37.76249605,-122.422603,,$575.00 ,95
16272594,37.7580424,-122.4211011,,$65.00 ,97
10947787,37.75788359,-122.4075305,,"$2,000.00 ",
15873936,37.75456441,-122.4125264,,$51.00 ,
11259062,37.75239754,-122.4244804,,$159.00 ,99
7163038,37.76911001,-122.4119345,,$120.00 ,
4533440,37.76862344,-122.4244366,,$100.00 ,98
14011529,37.76066203,-122.4208268,,$50.00 ,
3379430,37.75826018,-122.4083304,,$80.00 ,100
8029798,37.75596136,-122.4095302,,$75.00 ,80
1623609,37.75942336,-122.4075424,,$155.00 ,98
16324639,37.75993231,-122.4213667,,$250.00 ,90
17501306,37.77021195,-122.4228986,,$55.00 ,97
591431,37.75065685,-122.4234918,,$450.00 ,83
9351735,37.74944922,-122.4095556,,$250.00 ,92
1962559,37.75375109,-122.4252011,,$150.00 ,100
6926901,37.75641542,-122.4128513,,$300.00 ,97
12366392,37.76772249,-122.422152,,$170.00 ,100
5943416,37.75151485,-122.4245018,,$190.00 ,
1339473,37.75440053,-122.412507,,$230.00 ,91
10940485,37.75309747,-122.4199679,,$115.00 ,99
10792779,37.75780405,-122.4214434,,$95.00 ,93
5414237,37.74970235,-122.4066375,,$90.00 ,95
6954332,37.76645745,-122.4253543,,$95.00 ,95
10809367,37.75089762,-122.4148136,,$350.00 ,
815123,37.75110865,-122.4187323,170,$130.00 ,100
1388523,37.75526258,-122.4249664,,"$4,000.00 ",94
765914,37.75691789,-122.4111644,,$349.00 ,98
225205,37.76096715,-122.4231305,,$115.00 ,94
6795192,37.75849371,-122.4157999,,$170.00 ,100
5775177,37.74825404,-122.4176816,,$115.00 ,100
8907289,37.75267808,-122.4075329,,$133.00 ,99
13953008,37.76455721,-122.4239801,,$232.00 ,98
16232349,37.751588,-122.4187695,,$100.00 ,
8384398,37.75618418,-122.421447,,$200.00 ,98
223213,37.7569887,-122.4085638,1100,$450.00 ,
16363397,37.76313587,-122.4079654,,$80.00 ,100
5468024,37.74907405,-122.4124016,,$99.00 ,92
1356129,37.75083547,-122.4234114,,$145.00 ,92
10710892,37.75857822,-122.4222351,,$215.00 ,93
16178751,37.75913346,-122.4196755,,$185.00 ,100
15097007,37.75746793,-122.4125947,,$350.00 ,
16351934,37.76171887,-122.4234831,,$175.00 ,98
8564563,37.76867194,-122.4178576,,$165.00 ,96
6852699,37.76379548,-122.425448,,$149.00 ,99
6336315,37.77017333,-122.4215716,,$240.00 ,
2074584,37.76025251,-122.4166307,,$206.00 ,96
765739,37.75104087,-122.4186658,,$575.00 ,100
9525911,37.76764528,-122.4239505,,$120.00 ,100
11650390,37.75122694,-122.4183758,,$74.00 ,100
14773204,37.76667538,-122.4170325,,$105.00 ,94
5470034,37.76054446,-122.421676,,$59.00 ,83
1814061,37.75110161,-122.4241432,,$150.00 ,100
2046807,37.76045876,-122.4190438,,$149.00 ,89
486950,37.75311615,-122.4086315,1400,$100.00 ,
592883,37.75731078,-122.4095373,,$75.00 ,95
9350676,37.75174324,-122.4162526,,$299.00 ,
1093088,37.76777714,-122.4243382,,$68.00 ,96
13725185,37.76121341,-122.4086907,,$99.00 ,
2502127,37.75297177,-122.4128058,,$211.00 ,94
16231927,37.75833813,-122.4229128,,$125.00 ,100
2043364,37.76040329,-122.415501,,$85.00 ,93
2010572,37.75753955,-122.4106128,,$97.00 ,92
176092,37.75271742,-122.4093401,,$117.00 ,98
5107706,37.76059363,-122.4185532,,$500.00 ,
10153977,37.74851144,-122.4172331,,$65.00 ,20
8105974,37.75842278,-122.4119598,,$318.00 ,97
6974923,37.75996482,-122.4179394,,$150.00 ,
9219530,37.76403193,-122.4248225,,$75.00 ,93
9884258,37.74964663,-122.4175526,,$100.00 ,80
7400895,37.76945631,-122.4227033,,$285.00 ,98
9448855,37.7682995,-122.4253431,,$375.00 ,
7974287,37.7644722,-122.418478,,$89.00 ,100
13622506,37.76896906,-122.4108756,,$150.00 ,98
17316289,37.7594018,-122.4181344,,$125.00 ,
58756,37.75991582,-122.4191283,600,$127.00 ,100
1892956,37.75446376,-122.4224758,,$75.00 ,93
8973469,37.74984557,-122.4239428,,"$1,500.00 ",
15150231,37.7614406,-122.4213018,,$139.00 ,70
3695452,37.75327879,-122.4118102,,$69.00 ,100
9481209,37.75017197,-122.41734,,$65.00 ,95
13085830,37.74936883,-122.4223664,,$110.00 ,80
1403992,37.7660067,-122.4183305,,$148.00 ,
3419211,37.74866918,-122.4213935,,$165.00 ,93
273452,37.76864954,-122.42457,1100,$189.00 ,95
5008402,37.76601194,-122.4229685,,$150.00 ,96
10586068,37.75845746,-122.4086654,,$250.00 ,96
13802791,37.757922,-122.4141182,,$250.00 ,97
8213336,37.75877365,-122.4108145,,$120.00 ,100
2502368,37.74979106,-122.4087655,,$99.00 ,100
7492644,37.76573017,-122.4209976,,$158.00 ,100
3079665,37.76058002,-122.4254066,,$100.00 ,95
470686,37.7673056,-122.4254201,950,$125.00 ,98
3194136,37.75884751,-122.4059452,,$80.00 ,
12906085,37.76845419,-122.4216172,,$69.00 ,69
8597092,37.75696962,-122.4076487,,$85.00 ,84
1060442,37.74847017,-122.417238,,$200.00 ,96
6913294,37.75597989,-122.4152521,,$115.00 ,95
9776134,37.77037944,-122.4222524,,$95.00 ,97
12266463,37.76725835,-122.4223948,,$194.00 ,95
17574877,37.76006538,-122.4186564,,$215.00 ,
1928125,37.75454377,-122.4111001,,$155.00 ,97
9726878,37.75469124,-122.4226532,,$800.00 ,
2304925,37.75239589,-122.4129407,,$45.00 ,95
212297,37.7674576,-122.4232362,,$120.00 ,92
11069241,37.75796429,-122.4197255,,$150.00 ,100
748256,37.75495392,-122.4168309,,$110.00 ,97
8088394,37.76400671,-122.4175282,,$400.00 ,
2557977,37.74991628,-122.4082173,,$135.00 ,99
3985721,37.75243517,-122.4152028,,$100.00 ,92
13249335,37.75219564,-122.4170061,,$100.00 ,80
17791068,37.75465229,-122.4101758,,$200.00 ,
16673580,37.75767012,-122.4174079,,$70.00 ,97
4500244,37.75742313,-122.4236494,,$145.00 ,93
715543,37.76374505,-122.4124976,,$180.00 ,100
4926230,37.75750508,-122.4235015,,$200.00 ,
12905241,37.76173049,-122.4256579,,"$1,750.00 ",
16117102,37.75522798,-122.4179171,,$450.00 ,
