"latitude","longitude","price",
38.0136,-122.874,53,
38.0149,-122.875,107,
38.0161,-122.877,53,
38.0173,-122.878,107,
38.0186,-122.88,53,
38.0198,-122.881,80,
38.0211,-122.883,69,
38.0223,-122.884,254,
38.0235,-122.886,80,
38.0248,-122.887,82,
38.026,-122.889,85,
38.0273,-122.89,85,
38.0285,-122.892,85,
38.0298,-122.893,85,
38.031,-122.894,85,
38.0322,-122.896,85,
38.0335,-122.897,85,
38.0347,-122.899,85,
38.036,-122.9,85,
38.0372,-122.902,85,
38.0384,-122.903,85,
38.0397,-122.905,85,
38.0409,-122.906,85,
38.0422,-122.908,85,
38.0434,-122.909,85,
38.0447,-122.911,85,
38.0459,-122.912,85,
38.0471,-122.914,85,
38.0484,-122.915,85,
38.0496,-122.917,85,
38.0509,-122.918,76,
38.0521,-122.919,65,
38.0533,-122.921,263,
38.0546,-122.922,82,
38.0558,-122.924,85,
38.0571,-122.925,88,
38.0583,-122.927,88,
38.0596,-122.928,88,
38.0608,-122.93,88,
38.062,-122.931,88,
38.0633,-122.933,88,
38.0645,-122.934,88,
38.0658,-122.936,89,
38.067,-122.937,78,
38.0682,-122.939,324,
38.0695,-122.94,100,
38.0707,-122.941,104,
38.072,-122.943,109,
38.0732,-122.944,97,
38.0745,-122.946,83,
38.0757,-122.947,55,
38.0769,-122.949,94,
38.0782,-122.95,51,
38.0794,-122.952,120,
38.0807,-122.953,104,
38.0819,-122.955,323,
38.0831,-122.956,706,
38.0844,-122.958,305,
38.0856,-122.959,90,
38.0869,-122.961,102,
38.0881,-122.962,90,
38.0894,-122.963,52,
38.0906,-122.965,102,
38.0918,-122.966,53,
38.0931,-122.968,52,
38.0943,-122.969,102,
38.0956,-122.971,102,
38.0968,-122.972,53,
38.098,-122.974,52,
38.0993,-122.975,102,
38.1005,-122.977,102,
38.1018,-122.978,53,
38.103,-122.98,52,
38.1043,-122.981,102,
38.1055,-122.983,102,
38.1067,-122.984,53,
38.108,-122.985,52,
38.1092,-122.987,102,
38.1105,-122.988,102,
38.1117,-122.99,53,
38.1129,-122.991,52,
38.1142,-122.993,102,
38.1154,-122.994,102,
38.1167,-122.996,53,
38.1179,-122.997,52,
38.1192,-122.999,102,
38.1204,-123,102,
38.1216,-123.002,53,
38.1229,-123.003,52,
38.1241,-123.005,102,
38.1254,-123.006,102,
38.1266,-123.007,53,
38.1278,-123.009,52,
38.1291,-123.01,102,
38.1303,-123.012,102,
38.1316,-123.013,53,
38.1328,-123.015,52,
38.1341,-123.016,102,
38.1353,-123.018,102,
38.1365,-123.019,53,
38.1378,-123.021,52,
38.139,-123.022,102,
38.1403,-123.024,102,
38.1415,-123.025,53,
38.1427,-123.027,52,
38.144,-123.028,79,
38.1452,-123.029,62,
38.1465,-123.031,80,
38.1477,-123.032,170,
38.149,-123.034,64,
38.1502,-123.035,59,
38.1514,-123.037,61,
38.1527,-123.038,57,
38.1539,-123.04,57,
38.1552,-123.041,57,
38.1564,-123.043,57,
38.1576,-123.044,57,
38.1589,-123.046,57,
38.1601,-123.047,57,
38.1614,-123.049,57,
38.1626,-123.05,57,
38.1639,-123.052,57,
38.1651,-123.053,57,
38.1663,-123.054,57,
38.1676,-123.056,57,
38.1688,-123.057,57,
38.1701,-123.059,57,
38.1713,-123.06,57,
38.1725,-123.062,57,
38.1738,-123.063,57,
38.175,-123.065,69,
38.1763,-123.066,61,
38.1775,-123.068,82,
38.1788,-123.069,158,
38.18,-123.071,61,
38.1812,-123.072,56,
38.1825,-123.074,58,
38.1837,-123.075,53,
38.185,-123.076,53,
38.1862,-123.078,53,
38.1874,-123.079,53,
38.1887,-123.081,53,
38.1899,-123.082,81,
38.1912,-123.084,69,
38.1924,-123.085,99,
38.1937,-123.087,189,
38.1949,-123.088,74,
38.1961,-123.09,66,
38.1974,-123.091,119,
38.1986,-123.093,51,
38.1999,-123.094,51,
38.2011,-123.096,103,
38.2023,-123.097,158,
38.2036,-123.098,70,
38.2048,-123.1,113,
38.2061,-123.101,110,
38.2073,-123.103,306,
38.2086,-123.104,407,
38.2098,-123.106,241,
38.211,-123.107,86,
38.2123,-123.109,74,
38.2135,-123.11,86,
38.2148,-123.112,74,
38.216,-123.113,81,
38.2172,-123.115,81,
38.2185,-123.116,81,
38.2197,-123.118,81,
38.221,-123.119,81,
38.2222,-123.12,81,
38.2235,-123.122,81,
38.2247,-123.123,81,
38.2259,-123.125,81,
38.2272,-123.126,81,
38.2284,-123.128,81,
38.2297,-123.129,81,
38.2309,-123.131,81,
38.2321,-123.132,81,
38.2334,-123.134,81,
38.2346,-123.135,81,
38.2359,-123.137,81,
38.2371,-123.138,81,
38.2384,-123.14,81,
38.2396,-123.141,81,
38.2408,-123.142,81,
38.2421,-123.144,81,
38.2433,-123.145,81,
38.2446,-123.147,81,
38.2458,-123.148,81,
38.247,-123.15,81,
38.2483,-123.151,81,
38.2495,-123.153,81,
38.2508,-123.154,81,
38.252,-123.156,81,
38.2533,-123.157,81,
38.2545,-123.159,81,
38.2557,-123.16,81,
38.257,-123.162,81,
38.2582,-123.163,81,
38.2595,-123.164,81,
38.2607,-123.166,81,
38.2619,-123.167,81,
38.2632,-123.169,81,
38.2644,-123.17,81,
38.2657,-123.172,81,
38.2669,-123.173,81,
38.2682,-123.175,74,
